charger_id,utilization_minutes,utilization_percent,session_duration,time_between_previous_session_minutes,NumberOfSessions,UptimeSeconds,date,id,is_queued,day_name,day_number,time,time_bin,utilization_bin,revenue_usd
7131,152,0.105555556,167,30,68,28789,09/03/2024,587,FALSE,Tuesday,2,5:27:34 pm,5:00 pm,40,5.060082508
4925,118,0.081944444,1613,18.65,68,28482,08/07/2024,627,TRUE,Wednesday,3,1:43:47 pm,1:00 pm,20,32.82663418
6638,146,0.101388889,1521,0.216666667,68,36240,08/10/2024,692,FALSE,Saturday,6,5:57:49 am,5:00 am,40,23.67558148
2365,126,0.0875,2204,32.26666667,68,33871,08/17/24,761,FALSE,Saturday,6,10:19:37 am,10:00 am,160,40.56982055
2365,103,0.071527778,1929,21.48333333,68,38137,09/15/24,799,FALSE,Sunday,7,11:23:03 pm,11:00 pm,20,24.69598044
2365,124,0.086111111,1491,28.86666667,68,32045,08/18/24,955,FALSE,Sunday,7,1:29:57 pm,1:00 pm,120,3.210404693
2365,179,0.124305556,598,20.06666667,68,32097,09/10/2024,986,FALSE,Tuesday,2,1:04:56 pm,1:00 pm,60,64.75932272
4925,126,0.0875,3149,12.81666667,76,33820,09/01/2024,11,FALSE,Sunday,7,4:00:41 pm,4:00 pm,140,84.19205514
2365,180,0.125,67,1.633333333,76,29498,08/01/2024,156,TRUE,Thursday,4,11:56:57 am,11:00 am,100,2.99552123
4925,140,0.097222222,740,2.483333333,76,34808,09/14/24,177,FALSE,Saturday,6,1:05:45 am,1:00 am,80,74.45564364
7577,125,0.086805556,1709,1.35,76,31122,09/05/2024,181,FALSE,Thursday,4,9:52:47 pm,9:00 pm,160,65.8405883
2365,193,0.134027778,354,51.38333333,76,28019,09/04/2024,189,FALSE,Wednesday,3,6:14:24 pm,6:00 pm,100,61.54271271
9434,114,0.079166667,463,0.5,76,34802,08/02/2024,327,FALSE,Friday,5,4:13:29 pm,4:00 pm,160,94.68496645
2365,158,0.109722222,805,28.41666667,76,26447,09/26/24,570,FALSE,Thursday,4,10:09:07 am,10:00 am,60,29.33176142
4925,102,0.070833333,2173,55.53333333,76,25933,09/29/24,573,FALSE,Sunday,7,8:12:56 pm,8:00 pm,20,45.93903145
2365,137,0.095138889,2637,0.5,76,34079,08/17/24,691,TRUE,Saturday,6,1:57:08 am,1:00 am,80,65.40416663
7577,124,0.086111111,3310,1.666666667,76,29351,09/19/24,753,FALSE,Thursday,4,3:11:16 pm,3:00 pm,120,52.1365584
4925,138,0.095833333,937,22.05,76,24055,09/19/24,979,FALSE,Thursday,4,7:44:29 pm,7:00 pm,140,23.51441148
4925,106,0.073611111,1152,32.26666667,28,27172,09/05/2024,33,FALSE,Thursday,4,4:39:49 pm,4:00 pm,140,74.6875084
4925,185,0.128472222,1209,31.98333333,54,35443,09/01/2024,34,FALSE,Sunday,7,12:45:20 pm,12:00 pm,120,24.80174937
2365,101,0.070138889,1609,31.7,82,36243,08/21/24,35,FALSE,Wednesday,3,1:51:11 am,1:00 am,40,98.76396521
1748,101,0.070138889,2329,31.41666667,48,27222,09/17/24,36,FALSE,Tuesday,2,2:33:59 am,2:00 am,100,72.35707188
7131,112,0.077777778,1929,31.13333333,92,25466,09/30/24,37,TRUE,Monday,1,4:30:09 pm,4:00 pm,40,99.45649276
7577,144,0.1,2880,30.85,70,33870,08/27/24,38,FALSE,Tuesday,2,10:57:01 pm,10:00 pm,80,43.63676079
9434,153,0.10625,136,30.56666667,65,31213,08/17/24,39,FALSE,Saturday,6,9:12:12 pm,9:00 pm,40,75.39293797
2365,195,0.135416667,969,30.28333333,73,26834,08/02/2024,40,FALSE,Friday,5,7:49:42 am,7:00 am,160,27.46970813
9434,113,0.078472222,2250,30,11,27244,08/09/2024,41,FALSE,Friday,5,9:00:00 pm,9:00 pm,20,38.65211234
2365,199,0.138194444,152,29.71666667,53,34429,09/22/24,42,FALSE,Sunday,7,2:27:12 pm,2:00 pm,60,27.8133878
6638,131,0.090972222,1118,29.43333333,62,33908,09/20/24,43,FALSE,Friday,5,5:54:06 am,5:00 am,60,80.67086146
4925,154,0.106944444,1205,4.183333333,79,33730,09/03/2024,132,TRUE,Tuesday,2,10:58:35 am,10:00 am,120,36.94226085
4925,193,0.134027778,666,3.9,52,32168,10/01/2024,133,FALSE,Tuesday,2,9:24:17 pm,9:00 pm,40,54.90922238
2365,200,0.138888889,1617,3.616666667,48,26724,08/08/2024,134,FALSE,Thursday,4,7:28:11 pm,7:00 pm,160,37.35921325
1748,183,0.127083333,1402,3.333333333,56,29745,08/07/2024,135,FALSE,Wednesday,3,7:15:20 pm,7:00 pm,100,24.20345362
7131,153,0.10625,1340,3.05,58,27896,09/10/2024,136,FALSE,Tuesday,2,9:03:37 am,9:00 am,140,22.25914142
7577,152,0.105555556,1708,2.766666667,32,37713,08/11/2024,137,FALSE,Sunday,7,11:07:35 pm,11:00 pm,120,34.48154252
9434,133,0.092361111,1424,2.483333333,26,29516,08/05/2024,138,FALSE,Monday,1,10:22:46 pm,10:00 pm,40,33.33883613
2365,108,0.075,1879,2.2,43,28133,08/15/24,139,TRUE,Thursday,4,6:00:59 pm,6:00 pm,60,71.13643237
9434,175,0.121527778,1749,1.916666667,92,27013,08/06/2024,140,FALSE,Tuesday,2,10:16:23 am,10:00 am,60,69.75088732
2365,113,0.078472222,2271,1.633333333,37,35043,08/30/24,141,FALSE,Friday,5,9:05:42 am,9:00 am,120,86.7962072
6638,180,0.125,1875,1.35,54,32823,09/28/24,142,FALSE,Saturday,6,3:10:14 pm,3:00 pm,60,51.05501686
4925,145,0.100694444,2334,7.316666667,54,26091,09/11/2024,121,FALSE,Wednesday,3,10:52:47 am,10:00 am,40,94.84315923
4925,121,0.084027778,2219,7.033333333,89,34544,09/01/2024,122,FALSE,Sunday,7,10:32:17 pm,10:00 pm,80,42.84962695
2365,125,0.086805556,1655,6.75,80,34983,10/01/2024,123,FALSE,Tuesday,2,3:18:17 am,3:00 am,160,94.07816231
1748,117,0.08125,1562,6.466666667,53,27759,10/01/2024,124,TRUE,Tuesday,2,5:15:26 am,5:00 am,20,4.660041319
7131,198,0.1375,2781,6.183333333,99,27444,08/24/24,125,FALSE,Saturday,6,11:18:35 am,11:00 am,80,68.31745155
7577,161,0.111805556,3438,5.9,40,33045,10/01/2024,126,FALSE,Tuesday,2,4:41:59 pm,4:00 pm,100,94.13411973
9434,136,0.094444444,3593,5.616666667,35,28340,09/15/24,127,FALSE,Sunday,7,1:05:12 pm,1:00 pm,60,96.50706073
2365,192,0.133333333,789,5.333333333,64,35848,08/11/2024,128,FALSE,Sunday,7,10:18:42 am,10:00 am,60,55.55411275
9434,142,0.098611111,1672,5.05,53,30764,08/06/2024,129,FALSE,Tuesday,2,2:18:11 pm,2:00 pm,60,18.52756012
2365,182,0.126388889,487,4.766666667,42,34393,09/17/24,130,FALSE,Tuesday,2,1:48:24 am,1:00 am,100,43.48323724
6638,136,0.094444444,724,4.483333333,6,32516,08/12/2024,131,TRUE,Monday,1,2:15:57 am,2:00 am,160,17.77341977
4925,134,0.093055556,1732,41.98333333,99,32285,08/14/24,198,FALSE,Wednesday,3,9:38:08 pm,9:00 pm,40,43.51973314
4925,187,0.129861111,739,69.43333333,22,36012,08/19/24,199,FALSE,Monday,1,12:17:41 am,12:00 am,140,17.52675958
2365,184,0.127777778,3202,10.66666667,71,35080,09/04/2024,200,FALSE,Wednesday,3,4:37:28 pm,4:00 pm,100,54.83929673
1748,191,0.132638889,683,8.033333333,56,36016,08/06/2024,201,FALSE,Tuesday,2,9:18:51 am,9:00 am,100,81.11801327
7131,142,0.098611111,41,17,49,31829,08/22/24,202,FALSE,Thursday,4,6:48:05 am,6:00 am,160,2.938664009
7577,188,0.130555556,2729,10.53333333,49,36997,08/01/2024,203,FALSE,Thursday,4,1:23:32 pm,1:00 pm,100,87.42234271
9434,109,0.075694444,658,71.76666667,46,36994,08/29/24,204,TRUE,Thursday,4,5:23:58 pm,5:00 pm,120,40.93602365
2365,154,0.106944444,557,26.41666667,91,37478,08/16/24,205,FALSE,Friday,5,11:07:16 am,11:00 am,140,20.94896633
9434,145,0.100694444,3584,28.41666667,46,30237,08/14/24,206,FALSE,Wednesday,3,1:50:38 pm,1:00 pm,120,61.41871547
2365,107,0.074305556,1069,1.666666667,36,37374,09/19/24,207,FALSE,Thursday,4,12:57:05 am,12:00 am,160,24.52229878
6638,131,0.090972222,178,81.91666667,71,35229,08/08/2024,208,FALSE,Thursday,4,6:46:54 pm,6:00 pm,140,8.816923383
4925,145,0.100694444,2277,55.53333333,4,32686,09/15/24,209,FALSE,Sunday,7,8:27:13 am,8:00 am,120,10.32981297
4925,163,0.113194444,1861,59.15,35,30184,08/27/24,210,FALSE,Tuesday,2,1:52:03 am,1:00 am,160,70.49721779
2365,118,0.081944444,3424,10.25,90,24597,08/25/24,211,TRUE,Sunday,7,3:37:52 am,3:00 am,140,91.15662517
1748,142,0.098611111,1421,10.95,34,35981,09/05/2024,212,FALSE,Thursday,4,6:57:13 pm,6:00 pm,140,40.47789649
7131,135,0.09375,3007,52.73333333,65,26417,09/29/24,213,FALSE,Sunday,7,1:32:31 pm,1:00 pm,40,11.1865625
7577,198,0.1375,1017,56.25,90,26372,09/02/2024,214,FALSE,Monday,1,11:04:16 am,11:00 am,120,39.65663461
9434,183,0.127083333,347,32.26666667,18,24314,08/04/2024,215,FALSE,Sunday,7,2:06:59 am,2:00 am,100,54.21478373
2365,104,0.072222222,2951,31.98333333,72,28324,08/08/2024,216,FALSE,Thursday,4,12:44:51 am,12:00 am,60,41.0423226
9434,117,0.08125,1675,31.7,12,25993,08/14/24,217,FALSE,Wednesday,3,8:18:11 pm,8:00 pm,100,64.33675426
2365,188,0.130555556,259,31.41666667,49,35153,08/19/24,218,TRUE,Monday,1,1:15:57 pm,1:00 pm,100,30.66080495
6638,148,0.102777778,3595,31.13333333,78,35673,08/11/2024,219,FALSE,Sunday,7,5:23:27 pm,5:00 pm,60,53.95767587
4925,197,0.136805556,394,21.48333333,23,36930,09/11/2024,253,FALSE,Wednesday,3,4:02:34 am,4:00 am,140,53.03636948
4925,169,0.117361111,2286,21.2,81,28977,08/06/2024,254,FALSE,Tuesday,2,12:35:55 pm,12:00 pm,40,51.65537446
2365,195,0.135416667,3550,20.91666667,98,25722,09/05/2024,255,FALSE,Thursday,4,1:19:54 pm,1:00 pm,60,70.43321125
1748,121,0.084027778,117,20.63333333,99,25083,09/12/2024,256,FALSE,Thursday,4,7:19:22 pm,7:00 pm,160,50.58331106
7131,107,0.074305556,173,20.35,85,35979,09/18/24,257,FALSE,Wednesday,3,4:12:30 am,4:00 am,100,73.53140856
7577,127,0.088194444,3577,20.06666667,56,32189,09/29/24,258,TRUE,Sunday,7,1:34:19 am,1:00 am,80,19.82428935
9434,145,0.100694444,494,19.78333333,39,28542,09/15/24,259,FALSE,Sunday,7,6:25:47 pm,6:00 pm,40,39.13268645
2365,190,0.131944444,424,19.5,21,24628,08/22/24,260,FALSE,Thursday,4,9:48:13 pm,9:00 pm,80,91.05019374
9434,163,0.113194444,2468,19.21666667,1,36812,08/26/24,261,FALSE,Monday,1,9:24:05 pm,9:00 pm,100,7.430394885
2365,104,0.072222222,2512,18.93333333,80,33194,09/03/2024,262,FALSE,Tuesday,2,9:53:12 am,9:00 am,140,30.74705284
6638,180,0.125,497,18.65,53,28391,09/19/24,263,FALSE,Thursday,4,4:02:32 am,4:00 am,160,44.34269465
2365,100,0.069444444,615,41.91666667,27,32754,09/03/2024,196,FALSE,Tuesday,2,3:53:01 pm,3:00 pm,140,5.388283661
2365,161,0.111805556,1630,17.8,27,34469,08/07/2024,266,TRUE,Wednesday,3,1:14:22 am,1:00 am,40,39.58539235
7577,110,0.076388889,1090,16.95,27,37738,09/27/24,269,FALSE,Friday,5,9:50:37 pm,9:00 pm,160,75.95041575
6638,130,0.090277778,1234,1.666666667,27,24872,09/10/2024,571,FALSE,Tuesday,2,3:12:16 am,3:00 am,40,4.061181996
4925,186,0.129166667,124,31.13333333,27,30984,09/27/24,583,FALSE,Friday,5,7:05:03 am,7:00 am,160,46.84600429
9434,106,0.073611111,916,13.83333333,27,27534,08/15/24,644,FALSE,Thursday,4,6:10:15 am,6:00 am,80,76.18531056
2365,141,0.097916667,630,13.55,27,29202,09/07/2024,645,FALSE,Saturday,6,10:46:04 am,10:00 am,40,33.23313897
2365,106,0.073611111,3321,28.41666667,27,33366,08/05/2024,717,FALSE,Monday,1,1:11:52 pm,1:00 pm,100,27.22004712
4925,127,0.088194444,1903,20.06666667,27,29786,09/04/2024,804,TRUE,Wednesday,3,6:25:14 pm,6:00 pm,40,10.53601024
7577,166,0.115277778,46,10.95,27,27450,08/23/24,940,FALSE,Friday,5,10:00:13 am,10:00 am,180,50.51913384
2365,130,0.090277778,3215,24.05,63,36069,08/06/2024,62,FALSE,Tuesday,2,7:13:33 pm,7:00 pm,120,46.16488983
1748,135,0.09375,2983,0.216666667,63,27637,08/20/24,146,FALSE,Tuesday,2,8:14:32 am,8:00 am,120,88.34408842
2365,148,0.102777778,2912,15.81666667,63,30940,09/14/24,273,FALSE,Saturday,6,2:50:07 am,2:00 am,100,3.938372478
4925,187,0.129861111,1803,5.9,63,26631,09/01/2024,308,FALSE,Sunday,7,7:44:56 pm,7:00 pm,160,35.89819914
7131,177,0.122916667,1758,26.88333333,63,24751,09/15/24,598,FALSE,Sunday,7,5:02:38 pm,5:00 pm,120,81.71994335
4925,172,0.119444444,2025,24.9,63,30717,09/16/24,605,TRUE,Monday,1,12:41:11 am,12:00 am,60,4.351831403
7577,197,0.136805556,3193,3.333333333,63,31915,09/26/24,863,FALSE,Thursday,4,4:45:01 pm,4:00 pm,140,24.34154914
1748,162,0.1125,830,20.56666667,63,33452,09/11/2024,905,FALSE,Wednesday,3,12:47:33 pm,12:00 pm,140,94.26513458
6638,200,0.138888889,1946,28.41666667,63,37588,08/12/2024,934,FALSE,Monday,1,8:26:22 am,8:00 am,120,15.69770265
4925,127,0.088194444,2182,31.41666667,63,32610,09/29/24,946,FALSE,Sunday,7,3:18:40 am,3:00 am,40,17.76710983
2365,186,0.129166667,2849,11.56666667,31,24166,08/23/24,288,FALSE,Friday,5,12:52:51 pm,12:00 pm,60,2.17665639
2365,122,0.084722222,2739,59.15,31,32997,08/16/24,574,FALSE,Friday,5,2:25:19 am,2:00 am,20,44.36411547
9434,200,0.138888889,2658,28.86666667,31,33766,09/03/2024,591,TRUE,Tuesday,2,11:05:35 pm,11:00 pm,80,92.5528115
2365,143,0.099305556,2822,28.58333333,31,24487,08/08/2024,592,FALSE,Thursday,4,10:37:16 am,10:00 am,140,85.30841683
7131,141,0.097916667,2039,1.916666667,31,33376,09/01/2024,686,FALSE,Sunday,7,3:41:32 pm,3:00 pm,40,38.0197655
9434,160,0.111111111,410,11.85,31,26347,08/23/24,833,FALSE,Friday,5,9:36:42 am,9:00 am,80,7.801332572
4925,131,0.090972222,2322,1.2,31,27760,09/09/2024,902,FALSE,Monday,1,2:20:54 am,2:00 am,80,10.82039836
2365,159,0.110416667,2717,41.98333333,31,37007,08/27/24,926,FALSE,Tuesday,2,8:04:34 pm,8:00 pm,160,93.39748608
1748,180,0.125,3176,21.2,31,35271,08/07/2024,982,FALSE,Wednesday,3,1:27:15 am,1:00 am,120,98.44265897
4925,200,0.138888889,916,63.88333333,28,30033,08/26/24,1,TRUE,Monday,1,6:03:34 am,6:00 am,140,28.36995513
2365,183,0.127083333,1185,67.36666667,58,35333,09/24/24,2,FALSE,Tuesday,2,3:12:13 pm,3:00 pm,140,38.84203459
1748,110,0.076388889,1337,20.28333333,39,33666,09/04/2024,3,FALSE,Wednesday,3,5:12:20 am,5:00 am,100,50.55946924
7577,105,0.072916667,1093,78.68333333,41,38336,08/05/2024,5,FALSE,Monday,1,9:24:58 pm,9:00 pm,140,64.28372001
6638,137,0.095138889,3593,50.95,54,29461,09/22/24,10,FALSE,Sunday,7,10:17:58 am,10:00 am,140,79.84598611
4925,166,0.115277778,1056,26.15,89,31800,08/21/24,12,FALSE,Wednesday,3,2:50:02 am,2:00 am,160,19.16467529
2365,193,0.134027778,3372,3.45,6,25293,08/22/24,13,FALSE,Thursday,4,8:33:42 pm,8:00 pm,140,79.01650401
1748,146,0.101388889,2739,41.91666667,90,29107,08/08/2024,14,TRUE,Thursday,4,5:12:01 pm,5:00 pm,140,13.87087991
7131,116,0.080555556,2786,28.76666667,90,36789,08/18/24,15,FALSE,Sunday,7,3:26:04 pm,3:00 pm,80,97.8775828
2365,103,0.071527778,792,10.66666667,70,30015,09/23/24,18,FALSE,Monday,1,5:15:32 am,5:00 am,140,5.78944421
9434,112,0.077777778,1538,8.033333333,49,33354,08/04/2024,19,FALSE,Sunday,7,2:13:03 am,2:00 am,140,37.76004131
2365,197,0.136805556,3600,17,94,38342,09/02/2024,20,FALSE,Monday,1,10:11:17 am,10:00 am,80,34.57278264
4925,132,0.091666667,3011,71.76666667,17,27074,09/09/2024,22,FALSE,Monday,1,7:11:52 pm,7:00 pm,140,47.89028161
4925,168,0.116666667,3520,26.41666667,93,32343,09/09/2024,23,FALSE,Monday,1,12:39:14 pm,12:00 pm,100,7.028319571
6638,177,0.122916667,2677,56.25,11,25152,08/05/2024,32,TRUE,Monday,1,7:33:36 am,7:00 am,160,43.93242322
7131,126,0.0875,3593,28.01666667,8,25286,08/23/24,48,FALSE,Friday,5,6:04:02 am,6:00 am,100,36.95840757
7577,127,0.088194444,662,27.73333333,47,29717,08/13/24,49,FALSE,Tuesday,2,5:25:23 pm,5:00 pm,140,6.380196052
2365,112,0.077777778,901,27.16666667,94,33542,09/10/2024,51,FALSE,Tuesday,2,5:04:34 am,5:00 am,60,65.2719431
9434,180,0.125,500,26.88333333,25,34858,09/01/2024,52,FALSE,Sunday,7,6:00:31 am,6:00 am,80,55.20992921
2365,200,0.138888889,2249,26.6,39,33838,08/19/24,53,FALSE,Monday,1,7:45:28 pm,7:00 pm,140,42.47163565
7577,187,0.129861111,796,24.61666667,89,28476,09/20/24,60,FALSE,Friday,5,1:10:06 am,1:00 am,40,67.34753857
9434,105,0.072916667,2268,24.33333333,26,31515,08/25/24,61,TRUE,Sunday,7,2:23:29 am,2:00 am,20,44.93044223
9434,166,0.115277778,135,23.76666667,45,24051,09/20/24,63,FALSE,Friday,5,5:29:48 pm,5:00 pm,20,65.02641562
2365,191,0.132638889,1346,23.48333333,35,25049,09/25/24,64,FALSE,Wednesday,3,8:44:01 am,8:00 am,60,46.22154984
6638,116,0.080555556,2555,23.2,60,30328,09/02/2024,65,FALSE,Monday,1,1:36:08 pm,1:00 pm,160,16.56321087
7131,175,0.121527778,1260,9.3,55,35321,09/27/24,114,FALSE,Friday,5,2:30:20 pm,2:00 pm,160,79.41577956
7577,113,0.078472222,2810,9.016666667,80,25475,08/08/2024,115,FALSE,Thursday,4,4:56:01 pm,4:00 pm,100,9.657347214
9434,149,0.103472222,590,8.733333333,50,33018,09/12/2024,116,FALSE,Thursday,4,10:12:49 pm,10:00 pm,160,98.99215831
2365,191,0.132638889,2199,8.45,5,27097,09/12/2024,117,TRUE,Thursday,4,8:00:33 pm,8:00 pm,160,56.69103146
9434,185,0.128472222,1277,8.166666667,77,37276,09/10/2024,118,FALSE,Tuesday,2,1:29:39 pm,1:00 pm,40,72.79746793
2365,156,0.108333333,911,7.883333333,7,34777,08/02/2024,119,FALSE,Friday,5,10:16:47 am,10:00 am,120,49.01255964
6638,126,0.0875,139,7.6,12,35651,09/26/24,120,FALSE,Thursday,4,1:00:31 pm,1:00 pm,140,6.2560417
4925,191,0.132638889,372,1.066666667,93,36456,09/16/24,143,FALSE,Monday,1,3:54:05 am,3:00 am,120,95.03551761
4925,164,0.113888889,2414,0.783333333,22,28933,09/03/2024,144,FALSE,Tuesday,2,2:55:43 am,2:00 am,120,74.65416131
2365,118,0.081944444,3220,0.5,97,27536,08/15/24,145,FALSE,Thursday,4,8:09:32 pm,8:00 pm,140,91.67150157
7131,189,0.13125,2617,0.216666667,52,36469,08/14/24,147,TRUE,Wednesday,3,9:57:22 am,9:00 am,160,7.002015463
9434,137,0.095138889,438,67.36666667,28,32756,09/28/24,149,FALSE,Saturday,6,6:51:55 pm,6:00 pm,100,19.44900853
2365,115,0.079861111,1876,20.28333333,42,31470,09/02/2024,150,FALSE,Monday,1,3:01:22 am,3:00 am,160,88.62908441
9434,127,0.088194444,540,31.55,11,26703,09/30/24,151,FALSE,Monday,1,11:23:12 pm,11:00 pm,60,15.45638359
2365,137,0.095138889,594,78.68333333,91,33636,08/24/24,152,FALSE,Saturday,6,10:45:49 am,10:00 am,80,71.78020635
6638,138,0.095833333,2884,20.61666667,1,32587,09/09/2024,153,FALSE,Monday,1,6:49:29 pm,6:00 pm,80,40.82349878
4925,109,0.075694444,471,2.2,2,31081,09/15/24,154,FALSE,Sunday,7,1:49:05 am,1:00 am,60,28.81015973
4925,129,0.089583333,334,1.916666667,39,29598,09/17/24,155,TRUE,Tuesday,2,1:27:33 pm,1:00 pm,40,74.61627124
1748,152,0.105555556,658,1.35,60,29909,09/06/2024,157,FALSE,Friday,5,7:30:28 pm,7:00 pm,100,97.60057354
7131,173,0.120138889,2151,1.066666667,19,29935,08/17/24,158,FALSE,Saturday,6,12:44:33 pm,12:00 pm,40,77.82305229
7577,115,0.079861111,3383,0.783333333,40,25193,09/05/2024,159,FALSE,Thursday,4,12:34:50 am,12:00 am,160,79.22995182
9434,163,0.113194444,236,0.5,95,38448,08/28/24,160,FALSE,Wednesday,3,10:05:40 am,10:00 am,80,59.96445796
2365,141,0.097916667,716,0.216666667,16,34958,08/26/24,161,FALSE,Monday,1,12:43:19 am,12:00 am,140,19.0812178
9434,199,0.138194444,3097,63.88333333,82,35150,09/29/24,162,FALSE,Sunday,7,6:18:12 pm,6:00 pm,140,80.22844806
2365,189,0.13125,3191,67.36666667,14,24848,09/03/2024,163,TRUE,Tuesday,2,2:47:41 pm,2:00 pm,160,21.95427583
6638,141,0.097916667,2096,20.28333333,62,33778,08/22/24,164,FALSE,Thursday,4,12:15:05 pm,12:00 pm,60,61.23258511
4925,192,0.133333333,3402,31.55,46,31053,09/25/24,165,FALSE,Wednesday,3,2:30:47 am,2:00 am,160,33.80208527
2365,125,0.086805556,222,20.61666667,21,35496,08/31/24,167,FALSE,Saturday,6,11:54:59 am,11:00 am,120,21.10800316
1748,152,0.105555556,3209,1.066666667,1,24838,10/01/2024,168,FALSE,Tuesday,2,1:19:08 am,1:00 am,80,88.02465682
7131,193,0.134027778,523,0.783333333,50,29044,08/09/2024,169,FALSE,Friday,5,7:19:47 pm,7:00 pm,60,56.23690789
7577,125,0.086805556,165,4.483333333,88,33622,08/09/2024,170,FALSE,Friday,5,1:18:09 am,1:00 am,20,85.72593911
9434,107,0.074305556,1405,3.616666667,14,34207,09/10/2024,173,TRUE,Tuesday,2,11:09:12 am,11:00 am,100,48.74457349
6638,108,0.075,3485,3.05,93,31313,08/30/24,175,FALSE,Friday,5,1:43:49 am,1:00 am,100,46.86916395
4925,119,0.082638889,417,2.766666667,6,35412,08/30/24,176,FALSE,Friday,5,5:43:33 pm,5:00 pm,140,56.0648062
2365,185,0.128472222,2708,2.2,75,34954,09/10/2024,178,FALSE,Tuesday,2,2:55:51 pm,2:00 pm,80,37.69655592
1748,125,0.086805556,2383,1.916666667,82,30043,08/14/24,179,FALSE,Wednesday,3,8:56:21 am,8:00 am,100,79.87052495
7131,101,0.070138889,252,1.633333333,32,27761,09/15/24,180,FALSE,Sunday,7,11:52:53 am,11:00 am,140,40.20126913
2365,186,0.129166667,133,63.88333333,66,30046,09/02/2024,183,FALSE,Monday,1,4:41:23 am,4:00 am,120,35.39414129
9434,175,0.121527778,2870,67.36666667,15,28365,09/21/24,184,TRUE,Saturday,6,8:13:30 am,8:00 am,80,62.51951752
2365,102,0.070833333,1389,20.28333333,61,35870,09/30/24,185,FALSE,Monday,1,11:18:37 pm,11:00 pm,140,61.14494972
6638,160,0.111111111,1381,31.55,97,26929,08/18/24,186,FALSE,Sunday,7,12:11:37 am,12:00 am,160,52.93130832
4925,135,0.09375,2239,78.68333333,55,32008,09/06/2024,187,FALSE,Friday,5,7:00:04 pm,7:00 pm,20,75.3912797
1748,109,0.075694444,174,27.5,39,27457,08/10/2024,190,FALSE,Saturday,6,9:34:52 am,9:00 am,100,20.97541334
7131,110,0.076388889,2661,23.33333333,13,29966,09/20/24,191,FALSE,Friday,5,12:31:07 am,12:00 am,120,21.57056873
7577,123,0.085416667,2273,50.95,54,35089,09/28/24,192,FALSE,Saturday,6,11:42:01 pm,11:00 pm,120,50.25315116
9434,117,0.08125,3318,12.81666667,79,25511,09/13/24,193,TRUE,Friday,5,11:35:07 pm,11:00 pm,160,83.85981456
2365,106,0.073611111,464,26.15,96,31196,08/08/2024,194,FALSE,Thursday,4,1:26:41 am,1:00 am,160,49.68935014
9434,186,0.129166667,3308,3.45,3,29444,08/22/24,195,FALSE,Thursday,4,9:20:27 pm,9:00 pm,120,44.93300432
6638,196,0.136111111,3472,28.76666667,32,27750,09/18/24,197,FALSE,Wednesday,3,2:41:28 am,2:00 am,60,49.62447347
4925,163,0.113194444,3501,30.85,43,34530,09/10/2024,220,FALSE,Tuesday,2,2:08:46 pm,2:00 pm,160,90.53543548
4925,138,0.095833333,3486,30.56666667,70,26923,09/02/2024,221,FALSE,Monday,1,11:59:25 pm,11:00 pm,40,72.65293034
