id,charger_id,date,ticket_type,support_tickets
338,5690,2024-09-05,Technical Support,3
339,5690,2024-09-20,Technical Support,4
340,5690,2024-10-10,Technical Support,5
341,7397,2024-08-01,Technical Support,10
342,7397,2024-08-15,Technical Support,6
343,7397,2024-09-05,Technical Support,0
344,7397,2024-09-20,Technical Support,12
345,7397,2024-10-10,Technical Support,4
346,1748,2024-08-01,Technical Support,0
347,1748,2024-08-15,Technical Support,6
348,1748,2024-09-05,Technical Support,15
349,1748,2024-09-20,Technical Support,4
350,1748,2024-10-10,Technical Support,0
351,7577,2024-08-01,Technical Support,2
352,7577,2024-08-15,Technical Support,15
353,7577,2024-09-05,Technical Support,3
354,7577,2024-09-20,Technical Support,7
355,7577,2024-10-10,Technical Support,0
356,9434,2024-08-01,Technical Support,13
357,9434,2024-08-15,Technical Support,0
358,9434,2024-09-05,Technical Support,15
359,9434,2024-09-20,Technical Support,8
360,9434,2024-10-10,Technical Support,8
361,2365,2024-08-01,Technical Support,7
362,2365,2024-08-15,Technical Support,4
363,2365,2024-09-05,Technical Support,6
364,2365,2024-09-20,Technical Support,7
365,2365,2024-10-10,Technical Support,15
366,6638,2024-08-01,Technical Support,0
367,6638,2024-08-15,Technical Support,6
368,6638,2024-09-05,Technical Support,12
369,6638,2024-09-20,Technical Support,6
370,6638,2024-10-10,Technical Support,5
371,3038,2024-08-01,Technical Support,14
372,3038,2024-08-15,Technical Support,14
373,3038,2024-09-05,Technical Support,15
374,3038,2024-09-20,Technical Support,9
375,3038,2024-10-10,Technical Support,10
376,8601,2024-08-01,Technical Support,0
377,8601,2024-08-15,Technical Support,0
378,8601,2024-09-05,Technical Support,6
379,8601,2024-09-20,Technical Support,6
380,8601,2024-10-10,Technical Support,0
381,7131,2024-08-01,Technical Support,0
382,7131,2024-08-15,Technical Support,13
383,7131,2024-09-05,Technical Support,8
384,7131,2024-09-20,Technical Support,14
385,7131,2024-10-10,Technical Support,13
386,5690,2024-08-01,Technical Support,6
387,5690,2024-08-15,Technical Support,6
388,5690,2024-09-05,Technical Support,12
389,5690,2024-09-20,Technical Support,6
390,5690,2024-10-10,Technical Support,1
391,7397,2024-08-01,Technical Support,14
392,7397,2024-08-15,Technical Support,2
393,7397,2024-09-05,Technical Support,1
394,7397,2024-09-20,Technical Support,1
395,7397,2024-10-10,Technical Support,8
396,1748,2024-08-01,Technical Support,10
397,1748,2024-08-15,Technical Support,6
398,1748,2024-09-05,Technical Support,4
399,1748,2024-09-20,Technical Support,8
400,1748,2024-10-10,Technical Support,11
401,7577,2024-08-01,Technical Support,4
402,7577,2024-08-15,Technical Support,8
403,7577,2024-09-05,Technical Support,3
404,7577,2024-09-20,Technical Support,8
405,7577,2024-10-10,Technical Support,14
406,9434,2024-08-01,Technical Support,0
407,9434,2024-08-15,Technical Support,8
408,9434,2024-09-05,Technical Support,13
409,9434,2024-09-20,Technical Support,0
410,9434,2024-10-10,Technical Support,12
411,2365,2024-08-01,Technical Support,1
412,2365,2024-08-15,Technical Support,0
413,2365,2024-09-05,Technical Support,6
414,2365,2024-09-20,Technical Support,8
415,2365,2024-10-10,Technical Support,1
416,6638,2024-08-01,Technical Support,3
417,6638,2024-08-15,Technical Support,15
418,6638,2024-09-05,Technical Support,3
419,6638,2024-09-20,Technical Support,9
420,6638,2024-10-10,Technical Support,15
421,3038,2024-08-01,Technical Support,3
422,3038,2024-08-15,Technical Support,1
423,3038,2024-09-05,Technical Support,3
424,3038,2024-09-20,Technical Support,2
425,3038,2024-10-10,Technical Support,7
426,8601,2024-08-01,Technical Support,15
427,8601,2024-08-15,Technical Support,11
428,8601,2024-09-05,Technical Support,5
429,8601,2024-09-20,Technical Support,10
430,8601,2024-10-10,Technical Support,4
431,7131,2024-08-01,Technical Support,0
432,7131,2024-08-15,Technical Support,14
433,7131,2024-09-05,Technical Support,7
434,7131,2024-09-20,Technical Support,2
435,7131,2024-10-10,Technical Support,5
436,5690,2024-08-01,Technical Support,0
437,5690,2024-08-15,Technical Support,8
438,5690,2024-09-05,Technical Support,5
439,5690,2024-09-20,Technical Support,9
440,5690,2024-10-10,Technical Support,4
441,7397,2024-08-01,Technical Support,7
442,7397,2024-08-15,Technical Support,10
443,7397,2024-09-05,Technical Support,15
444,7397,2024-09-20,Technical Support,5
445,7397,2024-10-10,Technical Support,11
446,1748,2024-08-01,Technical Support,10
447,1748,2024-08-15,Technical Support,4
448,1748,2024-09-05,Technical Support,15
449,1748,2024-09-20,Technical Support,13
450,1748,2024-10-10,Technical Support,9
451,7577,2024-08-01,Technical Support,15
452,7577,2024-08-15,Technical Support,11
453,7577,2024-09-05,Technical Support,0
454,7577,2024-09-20,Technical Support,7
455,7577,2024-10-10,Technical Support,7
456,9434,2024-08-01,Technical Support,0
457,9434,2024-08-15,Technical Support,15
458,9434,2024-09-05,Technical Support,0
459,9434,2024-09-20,Technical Support,1
460,9434,2024-10-10,Technical Support,7
461,2365,2024-08-01,Technical Support,7
462,2365,2024-08-15,Technical Support,6
463,2365,2024-09-05,Technical Support,8
464,2365,2024-09-20,Technical Support,5
465,2365,2024-10-10,Technical Support,5
466,6638,2024-08-01,Technical Support,12
467,6638,2024-08-15,Technical Support,15
468,6638,2024-09-05,Technical Support,15
469,6638,2024-09-20,Technical Support,13
470,6638,2024-10-10,Technical Support,5
471,3038,2024-08-01,Technical Support,3
472,3038,2024-08-15,Technical Support,3
473,3038,2024-09-05,Technical Support,3
474,3038,2024-09-20,Technical Support,5
475,3038,2024-10-10,Technical Support,7
476,8601,2024-08-01,Technical Support,0
477,8601,2024-08-15,Technical Support,3
478,8601,2024-09-05,Technical Support,10
479,8601,2024-09-20,Technical Support,5
480,8601,2024-10-10,Technical Support,14
481,7131,2024-08-01,Technical Support,8
482,7131,2024-08-15,Technical Support,5
483,7131,2024-09-05,Technical Support,15
484,7131,2024-09-20,Technical Support,6
485,7131,2024-10-10,Technical Support,15
486,5690,2024-08-01,Technical Support,13
487,5690,2024-08-15,Technical Support,15
488,5690,2024-09-05,Technical Support,7
489,5690,2024-09-20,Technical Support,7
490,5690,2024-10-10,Technical Support,6
491,7397,2024-08-01,Technical Support,6
492,7397,2024-08-15,Technical Support,11
493,7397,2024-09-05,Technical Support,13
494,7397,2024-09-20,Technical Support,8
495,7397,2024-10-10,Technical Support,12
496,1748,2024-08-01,Technical Support,10
497,1748,2024-08-15,Technical Support,4
498,1748,2024-09-05,Technical Support,12
499,1748,2024-09-20,Technical Support,12
500,1748,2024-10-10,Technical Support,4
501,7577,2024-08-01,Technical Support,4
502,7577,2024-08-15,Technical Support,14
503,7577,2024-09-05,Technical Support,12
504,7577,2024-09-20,Technical Support,8
505,7577,2024-10-10,Technical Support,3
506,9434,2024-08-01,Technical Support,5
507,9434,2024-08-15,Technical Support,13
508,9434,2024-09-05,Technical Support,5
509,9434,2024-09-20,Technical Support,13
510,9434,2024-10-10,Technical Support,15
511,2365,2024-08-01,Technical Support,1
512,2365,2024-08-15,Technical Support,14
513,2365,2024-09-05,Technical Support,11
514,2365,2024-09-20,Technical Support,8
515,2365,2024-10-10,Technical Support,9
516,6638,2024-08-01,Technical Support,12
517,6638,2024-08-15,Technical Support,0
518,6638,2024-09-05,Technical Support,15
519,6638,2024-09-20,Technical Support,9
520,6638,2024-10-10,Technical Support,8
521,3038,2024-08-01,Technical Support,1
522,3038,2024-08-15,Technical Support,13
523,3038,2024-09-05,Technical Support,7
524,3038,2024-09-20,Technical Support,12
525,3038,2024-10-10,Technical Support,14
526,8601,2024-08-01,Technical Support,3
527,8601,2024-08-15,Technical Support,14
528,8601,2024-09-05,Technical Support,10
529,8601,2024-09-20,Technical Support,7
530,8601,2024-10-10,Technical Support,7
531,7131,2024-08-01,Technical Support,0
532,7131,2024-08-15,Technical Support,1
533,7131,2024-09-05,Technical Support,14
534,7131,2024-09-20,Technical Support,14
535,7131,2024-10-10,Technical Support,5
536,5690,2024-08-01,Technical Support,6
537,5690,2024-08-15,Technical Support,0
538,5690,2024-09-05,Technical Support,1
539,5690,2024-09-20,Technical Support,3
540,5690,2024-10-10,Technical Support,13
541,7397,2024-08-01,Technical Support,8
542,7397,2024-08-15,Technical Support,9
543,7397,2024-09-05,Technical Support,5
544,7397,2024-09-20,Technical Support,5
545,7397,2024-10-10,Technical Support,11
546,1748,2024-08-01,Technical Support,1
547,1748,2024-08-15,Technical Support,5
548,1748,2024-09-05,Technical Support,13
549,1748,2024-09-20,Technical Support,1
550,1748,2024-10-10,Technical Support,1
551,7577,2024-08-01,Technical Support,6
552,7577,2024-08-15,Technical Support,12
553,7577,2024-09-05,Technical Support,12
554,7577,2024-09-20,Technical Support,10
555,7577,2024-10-10,Technical Support,14
556,9434,2024-08-01,Technical Support,3
557,9434,2024-08-15,Technical Support,10
558,9434,2024-09-05,Technical Support,4
559,9434,2024-09-20,Technical Support,11
560,9434,2024-10-10,Technical Support,12
561,2365,2024-08-01,Technical Support,9
562,2365,2024-08-15,Technical Support,9
563,2365,2024-09-05,Technical Support,14
564,2365,2024-09-20,Technical Support,0
565,2365,2024-10-10,Technical Support,6
566,6638,2024-08-01,Technical Support,1
567,6638,2024-08-15,Technical Support,9
568,6638,2024-09-05,Technical Support,5
569,6638,2024-09-20,Technical Support,1
570,6638,2024-10-10,Technical Support,14
571,3038,2024-08-01,Technical Support,7
572,3038,2024-08-15,Technical Support,10
573,3038,2024-09-05,Technical Support,1
574,3038,2024-09-20,Technical Support,9
575,3038,2024-10-10,Technical Support,8
576,8601,2024-08-01,Technical Support,9
577,8601,2024-08-15,Technical Support,0
578,8601,2024-09-05,Technical Support,14
579,8601,2024-09-20,Technical Support,12
580,8601,2024-10-10,Technical Support,11
581,7131,2024-08-01,Technical Support,11
582,7131,2024-08-15,Technical Support,0
583,7131,2024-09-05,Technical Support,8
584,7131,2024-09-20,Technical Support,9
585,7131,2024-10-10,Technical Support,12
586,5690,2024-08-01,Technical Support,1
587,5690,2024-08-15,Technical Support,2
588,5690,2024-09-05,Technical Support,11
589,5690,2024-09-20,Technical Support,14
590,5690,2024-10-10,Technical Support,13
591,7397,2024-08-01,Technical Support,15
592,7397,2024-08-15,Technical Support,0
593,7397,2024-09-05,Technical Support,4
594,7397,2024-09-20,Technical Support,3
595,7397,2024-10-10,Technical Support,0
596,1748,2024-08-01,Technical Support,2
597,1748,2024-08-15,Technical Support,2
598,1748,2024-09-05,Technical Support,5
599,1748,2024-09-20,Technical Support,6
600,1748,2024-10-10,Technical Support,2
601,7577,2024-08-01,Technical Support,4
602,7577,2024-08-15,Technical Support,3
603,7577,2024-09-05,Technical Support,9
604,7577,2024-09-20,Technical Support,2
605,7577,2024-10-10,Technical Support,3
606,9434,2024-08-01,Technical Support,7
607,9434,2024-08-15,Technical Support,7
608,9434,2024-09-05,Technical Support,8
609,9434,2024-09-20,Technical Support,11
610,9434,2024-10-10,Technical Support,7
611,2365,2024-08-01,Technical Support,8
612,2365,2024-08-15,Technical Support,14
613,2365,2024-09-05,Technical Support,10
614,2365,2024-09-20,Technical Support,8
615,2365,2024-10-10,Technical Support,1
616,6638,2024-08-01,Technical Support,15
617,6638,2024-08-15,Technical Support,9
618,6638,2024-09-05,Technical Support,15
619,6638,2024-09-20,Technical Support,11
620,6638,2024-10-10,Technical Support,2
621,3038,2024-08-01,Technical Support,13
622,3038,2024-08-15,Technical Support,8
623,3038,2024-09-05,Technical Support,14
624,3038,2024-09-20,Technical Support,14
625,3038,2024-10-10,Technical Support,13
626,8601,2024-08-01,Technical Support,7
627,8601,2024-08-15,Technical Support,9
628,8601,2024-09-05,Technical Support,13
629,8601,2024-09-20,Technical Support,0
630,8601,2024-10-10,Technical Support,7
631,7131,2024-08-01,Technical Support,9
632,7131,2024-08-15,Technical Support,12
633,7131,2024-09-05,Technical Support,14
634,7131,2024-09-20,Technical Support,10
635,7131,2024-10-10,Technical Support,0
636,5690,2024-08-01,Technical Support,8
637,5690,2024-08-15,Technical Support,2
638,5690,2024-09-05,Technical Support,14
639,5690,2024-09-20,Technical Support,0
640,5690,2024-10-10,Technical Support,9
641,7397,2024-08-01,Technical Support,9
642,7397,2024-08-15,Technical Support,5
643,7397,2024-09-05,Technical Support,12
644,7397,2024-09-20,Technical Support,1
645,7397,2024-10-10,Technical Support,11
646,1748,2024-08-01,Technical Support,1
647,1748,2024-08-15,Technical Support,6
648,1748,2024-09-05,Technical Support,0
649,1748,2024-09-20,Technical Support,5
650,1748,2024-10-10,Technical Support,14
651,7577,2024-08-01,Technical Support,1
652,7577,2024-08-15,Technical Support,9
653,7577,2024-09-05,Technical Support,4
654,7577,2024-09-20,Technical Support,12
655,7577,2024-10-10,Technical Support,10
656,9434,2024-08-01,Technical Support,1
657,9434,2024-08-15,Technical Support,9
658,9434,2024-09-05,Technical Support,4
659,9434,2024-09-20,Technical Support,12
660,9434,2024-10-10,Technical Support,6
661,2365,2024-08-01,Technical Support,15
662,2365,2024-08-15,Technical Support,6
663,2365,2024-09-05,Technical Support,3
664,2365,2024-09-20,Technical Support,5
665,2365,2024-10-10,Technical Support,0
666,6638,2024-08-01,Technical Support,12
667,6638,2024-08-15,Technical Support,0
668,6638,2024-09-05,Technical Support,0
669,6638,2024-09-20,Technical Support,1
670,6638,2024-10-10,Technical Support,12
671,3038,2024-08-01,Technical Support,12
672,3038,2024-08-15,Technical Support,13
673,3038,2024-09-05,Technical Support,15
674,3038,2024-09-20,Technical Support,15
675,3038,2024-10-10,Technical Support,9
676,8601,2024-08-01,Technical Support,8
677,8601,2024-08-15,Technical Support,1
678,8601,2024-09-05,Technical Support,7
679,8601,2024-09-20,Technical Support,7
680,8601,2024-10-10,Technical Support,5
681,7131,2024-08-01,Technical Support,2
682,7131,2024-08-15,Technical Support,4
683,7131,2024-09-05,Technical Support,12
684,7131,2024-09-20,Technical Support,4
685,7131,2024-10-10,Technical Support,0
686,5690,2024-08-01,Technical Support,4
687,5690,2024-08-15,Technical Support,5
688,5690,2024-09-05,Technical Support,14
689,5690,2024-09-20,Technical Support,10
690,5690,2024-10-10,Technical Support,4
691,7397,2024-08-01,Technical Support,8
692,7397,2024-08-15,Technical Support,12
693,7397,2024-09-05,Technical Support,9
694,7397,2024-09-20,Technical Support,0
695,7397,2024-10-10,Technical Support,7
696,1748,2024-08-01,Technical Support,8
697,1748,2024-08-15,Technical Support,1
